Complexity,Loss,Equation
1,0.40401527,"4.0624857"
3,0.20366578,"R + -4.781995"
5,0.15900008,"R + (-17.7103 / T)"
7,0.14165787,"(-315.16302 / (R * T)) - -13.707448"
8,0.14026478,"sqrt((-247.45724 / T) + (R * 9.455895))"
9,0.074228704,"(R + 31.810278) - (D - (-63.3894 / T))"
10,0.06097437,"(9.87633 - ((D - R) / log(T))) * 2.308458"
11,0.050534584,"((R + 24.705349) - (D - (-42.39364 / T))) * 1.5444477"
12,0.04845954,"(11.957239 - ((D - R) / log(T - 0.6664175))) / 0.58728004"
16,0.048448764,"(11.957502 - ((D - R) / log(T - 0.66552943))) / (0.58843184 - (0.1566717 ^ T))"
18,0.047596484,"(13.887714 - ((D - R) / log(T - 1.0815666))) / (((-0.8095365 / T) + 1.1801945) ^ R)"
